project_id,project_name,description,start_date,end_date,budget,status,manager_id
1,Future-proofed system-worthy info-mediaries,Strong early minute current offer most effect.,2025-10-29,2026-05-03,42620.06,Active,497
2,Organic web-enabled knowledgebase,Night exactly action manage himself consumer apply organization.,2025-08-23,2026-02-16,83093.03,Planning,306
3,Reverse-engineered explicit support,Center idea debate reveal.,2025-02-11,2026-01-18,73990.91,Planning,357
4,Integrated content-based intranet,Standard understand personal consumer enjoy society.,2024-12-07,2025-06-18,385730.77,Active,431
5,Digitized exuding ability,Happen same give.,2025-01-19,2025-08-11,321518.32,On Hold,471
6,Front-line executive Internet solution,Part take measure somebody.,2024-12-18,2025-04-12,64260.39,Planning,160
7,Devolved solution-oriented access,Chance third build or small television.,2025-04-08,2025-07-10,497274.07,On Hold,315
8,Mandatory well-modulated task-force,Meet standard goal surface last.,2024-10-24,2024-12-23,247289.33,Active,137
9,Horizontal full-range protocol,Education matter identify significant road.,2024-07-13,2025-04-17,48554.55,Active,86
10,Progressive background customer loyalty,Visit feeling medical near.,2025-07-26,2026-06-30,387482.17,Planning,252
11,Multi-tiered bi-directional ability,Attorney heart else home economy.,2025-03-15,2026-03-09,334224.57,Planning,320
12,Operative 6thgeneration help-desk,Produce drive mother concern.,2025-11-04,2026-10-23,353636.32,Planning,14
13,Managed zero tolerance conglomeration,Team go world these two.,2025-02-19,2025-03-24,451087.87,Completed,161
14,Synergistic asynchronous firmware,Us the actually.,2024-06-07,2024-08-28,212802.73,On Hold,34
15,Multi-layered 3rdgeneration moratorium,Including contain great give feeling ever she interest.,2025-11-25,2026-05-26,183738.24,Active,1
16,Open-architected foreground circuit,Month enjoy they teacher ask candidate reduce such.,2024-11-01,2025-09-05,466905.66,On Hold,102
17,Reduced transitional productivity,Break occur nation detail.,2025-09-14,2026-01-17,472523.22,Completed,491
18,User-centric value-added synergy,Impact foreign billion reason government chance.,2025-07-13,2026-02-17,385062.06,Active,95
19,Total uniform groupware,Guess whole color daughter.,2025-04-17,2025-09-23,300531.98,Active,176
20,Optimized bi-directional concept,Fast thought whose science call example dinner.,2025-01-06,2025-03-16,456573.76,On Hold,82
21,Streamlined real-time collaboration,Body according reveal subject girl charge far third.,2024-10-27,2025-08-02,466938.4,Completed,374
22,Universal bandwidth-monitored monitoring,Item nation left at draw hot.,2025-06-14,2026-02-04,442184.36,Planning,60
23,Up-sized high-level open architecture,Choose man whatever including church.,2026-04-02,2026-06-14,413743.13,On Hold,248
24,Programmable high-level secured line,Much country course before even.,2024-12-26,2025-05-17,55624.62,Planning,364
25,Adaptive explicit product,Three administration yourself suffer.,2025-11-08,2025-12-27,41220.39,Planning,357
26,Monitored heuristic complexity,Station through recently movie return.,2024-06-25,2024-10-23,467688.77,Completed,443
27,Cross-group next generation flexibility,Energy information particularly structure season none.,2024-08-19,2025-03-22,231333.99,Completed,139
28,Ergonomic disintermediate time-frame,Down position him indicate less.,2025-05-02,2025-07-21,457416.91,Active,300
